"Position Name","Salary","Job Type","Shift & Schedule","Company","Location","Rating","URL","Id","Posted At","Scraped At","Description Text","External Apply Link"
"Service Enablement Software Developer Intern (January 2024)","","","","Safe Software Inc.","Hybrid remote in Surrey, BC","","https://ca.indeed.com/rc/clk?jk=820d0fa57407eae8&fccid=80158ed4a2c1103c&vjs=3","820d0fa57407eae8","PostedPosted 22 days ago","2023-10-22T02:09:43.414Z"," 
 1 in 4 of our current staff started as student interns!
 Your primary task will be to actualize this vision, with the guidance of our full-time developers.
","ca.indeed.com/applystart?jk=820d0fa57407eae8"
"Software Engineer Intern","","","","Electronic Arts","Hybrid remote in Vancouver, BC","","https://ca.indeed.com/rc/clk?jk=4dd41d05f792c44a&fccid=617d7f961cfcf54a&vjs=3","4dd41d05f792c44a","PostedPosted 30+ days ago","2023-10-22T02:09:43.415Z"," 
 You will develop features for a cross-platform game.
 You will follow best practices to maximize game performance across multiple devices and platforms.
","ca.indeed.com/applystart?jk=4dd41d05f792c44a"
"Software Development Engineer Intern - 2024 (Canada)","","Monday to Friday","","Amazon Canada Fulfillment Services, ULC.","Vancouver, BC","","https://ca.indeed.com/rc/clk?jk=c53863cf5448bcdd&fccid=fe2d21eef233e94a&vjs=3","c53863cf5448bcdd","PostedPosted 30+ days ago","2023-10-22T02:09:43.416Z"," 
 Our interns write software and collaborate with experienced software development engineers (SDEs) who guide interns on projects that matter to our customers.
","ca.indeed.com/applystart?jk=c53863cf5448bcdd"
"Software Developer Co-op Internship- Backend","","","","Numerix","Remote in Vancouver, BC","","https://ca.indeed.com/rc/clk?jk=00a159f84ebfde9b&fccid=bea74927fd353048&vjs=3","00a159f84ebfde9b","PostedPosted 30+ days ago","2023-10-22T02:09:43.417Z"," 
 Experience with building and supporting software for use in live production environments.
 Participate in all phases of the agile software development process …
","ca.indeed.com/applystart?jk=00a159f84ebfde9b"
"Front End Web Developer (Intern)","","","","0footprint Tech Services","Surrey, BC","","https://ca.indeed.com/rc/clk?jk=286f6af6626c8ab9&fccid=cf0d3f58a1abde1c&vjs=3","286f6af6626c8ab9","PostedPosted 30+ days ago","2023-10-22T02:09:43.417Z"," 
 Have excellent communication skills; both written and spoken.
 Studying a degree in computer science, computer engineering, or have relevant experience, Fresh…
","ca.indeed.com/applystart?jk=286f6af6626c8ab9"
"Software Developer Co-Op (Value Frameworks)","","","","Copperleaf Technologies Inc.","Vancouver, BC","","https://ca.indeed.com/rc/clk?jk=093760b9b45428a0&fccid=f42e443c97eb285e&vjs=3","093760b9b45428a0","PostedPosted 1 day ago","2023-10-22T02:09:43.418Z"," 
 Releasing critical software components for customers in a fast-paced environment.
 Ideally, you’re a 3rd or 4th year computing science or engineering student…
","ca.indeed.com/applystart?jk=093760b9b45428a0"
"Software Development Internship- Winter 2024","","","","Activision","Vancouver, BC","","https://ca.indeed.com/rc/clk?jk=78be149fb0b3411f&fccid=71147e0539a0a1b7&vjs=3","78be149fb0b3411f","PostedPosted 30+ days ago","2023-10-22T02:09:43.419Z"," 
 Experience with multi platform software development.
 We solve tough problems on a day-to-day basis, and interns have a huge impact on what we do.
","ca.indeed.com/applystart?jk=78be149fb0b3411f"
"Fullstack Application Developer - (Co-op position)","","","","HP","Burnaby, BC","","https://ca.indeed.com/rc/clk?jk=5b81c19b71f72e27&fccid=1b866506aec22461&vjs=3","5b81c19b71f72e27","PostedPosted 2 days ago","2023-10-22T02:09:43.419Z"," 
 Participate in a Scrum team and learn about agile software development.
 You will gain exposure to our modern CI systems, build complex user interfaces with…
","ca.indeed.com/applystart?jk=5b81c19b71f72e27"
"Associate Software Developer – HP Anyware (Co-op position)","","","","HP","Burnaby, BC","","https://ca.indeed.com/rc/clk?jk=c7121140ae9c9ad9&fccid=1b866506aec22461&vjs=3","c7121140ae9c9ad9","PostedPosted 2 days ago","2023-10-22T02:09:43.420Z"," 
 Troubleshoot issues in the lab, utilizing debugging tools for application software and kernel drivers.
 Our Cloud Access Software product spans Linux and Windows…
","ca.indeed.com/applystart?jk=c7121140ae9c9ad9"
"Software Engineering Co-Op","","","","Generac Power Systems","Vancouver, BC","","https://ca.indeed.com/rc/clk?jk=0164f3156ad29f14&fccid=f75acf57a2ce8684&vjs=3","0164f3156ad29f14","PostedPosted 12 days ago","2023-10-22T02:09:43.421Z"," 
 The ideal candidate is a passionate problem solver with a firm grasp of programming fundamentals.
 Automated unit-testing and functional testing.
","ca.indeed.com/applystart?jk=0164f3156ad29f14"
"Associate Software Developer – in Test (Co-op position)","","","","HP","Burnaby, BC","","https://ca.indeed.com/rc/clk?jk=cbdf5c6421718749&fccid=1b866506aec22461&vjs=3","cbdf5c6421718749","PostedPosted 2 days ago","2023-10-22T02:09:43.421Z"," 
 Students who love to program software (ideally before they joined university) and have an interest in software services.
","ca.indeed.com/applystart?jk=cbdf5c6421718749"
"Software Engineer Co-op","","","","Electronic Arts","Hybrid remote in Vancouver, BC","","https://ca.indeed.com/rc/clk?jk=acee3bbbc639ea17&fccid=617d7f961cfcf54a&vjs=3","acee3bbbc639ea17","PostedPosted 26 days ago","2023-10-22T02:09:43.422Z"," 
 You will report to Producers, Development Directors and Technical Leads to lead the development of bug fixes, game changes, and new features into our games.
","ca.indeed.com/applystart?jk=acee3bbbc639ea17"
"Full Stack Developer (Co-Op/Internship)","","","","LUCID Vision Labs","Richmond, BC","","https://ca.indeed.com/rc/clk?jk=d409f650708b7dbc&fccid=7981d861c3c6e79b&vjs=3","d409f650708b7dbc","PostedPosted 25 days ago","2023-10-22T02:09:43.423Z"," 
 Working closely with the firmware team and external teams such as software, hardware, FPGA, and manufacturing.
 NodeJS and React experience is an asset.
","ca.indeed.com/applystart?jk=d409f650708b7dbc"
"Software Engineering – Machine Learning Co-op","","","","Veralto","Vancouver, BC","","https://ca.indeed.com/rc/clk?jk=c50d31444018fd91&fccid=03753857109b5b4f&vjs=3","c50d31444018fd91","PostedPosted 22 days ago","2023-10-22T02:09:43.423Z"," 
 Keen to learn about software engineering and technology; incessantly inquisitive.
 You are passionate about data science and full-stack software engineering.
","ca.indeed.com/applystart?jk=c50d31444018fd91"
"Software Developer Co-Op (AI Innovation)","","","","Copperleaf Technologies Inc.","Vancouver, BC","","https://ca.indeed.com/rc/clk?jk=ffa9e7cbd039fd8a&fccid=f42e443c97eb285e&vjs=3","ffa9e7cbd039fd8a","PostedPosted 4 days ago","2023-10-22T02:09:43.424Z"," 
 You’re a 3rd or 4th year computing science or engineering student with previous software development experience.
 Designing and testing generative AI systems.
","ca.indeed.com/applystart?jk=ffa9e7cbd039fd8a"
